VK|Технический менеджер Приватного облака (VK Cloud)|Москва, Полный рабочий день, Можно удаленно|Менеджер продукта, Старший (Senior), Python, Golang, Linux, Kubernetes|2022-11-28T18:56:40+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110995
Россельхозбанк|Аналитик (СЭД)|Москва|Системный аналитик, SOAP, REST|2022-11-28T18:57:05+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114106
.White Code|TypeScript Developer - Middle+/Senior |Санкт-Петербург, Полный рабочий день|Фронтенд разработчик, Средний (Middle), JavaScript, React, React Native, TypeScript, Redux, MobX|2022-11-28T19:00:01+03:00|['240000', '360000', '₽']|https://career.habr.com/vacancies/1000080144
Россельхозбанк|Системный администратор частного облака|Москва, Полный рабочий день|Системный администратор, CI/CD|2022-11-28T19:00:21+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114107
VK|Системный администратор (mac)|Москва, Полный рабочий день|Системный администратор, Средний (Middle), Python, Linux, Mac, Bash|2022-11-28T19:01:48+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114542
Лаборатория Касперского|Product Designer B2B|Москва|Продуктовый дизайнер, UI/UX дизайн|2022-11-28T19:05:08+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000113772
Россельхозбанк|Разработчик архитектурного репозитория|Москва, Полный рабочий день|Бэкенд разработчик, Java|2022-11-28T19:05:36+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114108
Россельхозбанк|Аналитик по проектам развития ИТ инфраструктуры|Можно удаленно|Бизнес-аналитик, Системный анализ|2022-11-28T19:09:21+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114109
Россельхозбанк|Руководитель проекта по обеспечению надежности ИТ инфраструктуры|Можно удаленно|Менеджер проекта, Управление проектами, Управление людьми|2022-11-28T19:12:34+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114110
BELT_app|Flutter Developer (JUNIOR/MIDDLE)|Полный рабочий день, Можно удаленно|Разработчик мобильных приложений, Средний (Middle), Flutter, Dart, Figma Design, MVVM|2022-11-28T19:15:06+03:00|['40000', 'null', '₽']|https://career.habr.com/vacancies/1000112816
Россельхозбанк|Эксперт/Архитектор СУБД PostgreSQL|Москва, Полный рабочий день|Девопс инженер, PostgreSQL|2022-11-28T19:16:10+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114111
Россельхозбанк|Ведущий разработчик|Полный рабочий день, Можно удаленно|Бэкенд разработчик, Java, Java Spring Framework, Базы данных|2022-11-28T19:18:13+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114112
BELT_app|UI Flutter Developer (MIDDLE)|Неполный рабочий день, Можно удаленно|Фронтенд разработчик, Средний (Middle), Figma Design, Dart, Flutter|2022-11-28T19:26:29+03:00|['40000', 'null', '₽']|https://career.habr.com/vacancies/1000114845
ГК Астра|Тестировщик/QA engineer (мобильное приложение)|Москва, Полный рабочий день, Можно удаленно|Инженер по ручному тестированию, Средний (Middle), Тестирование ПО, Тестирование мобильных приложений, Функциональное тестирование, Ручное тестирование, Разработка тест-кейсов, Selenium|2022-11-21T19:27:21+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000090340
ГК Астра|Администратор проекта (technical account manager\Linux engineer)|Москва|Системный администратор, Средний (Middle), Ansible, Bash, Linux, KVM, TCP, Samba, Виртуализация|2022-11-28T19:27:15+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110548
ГК Астра|Product owner|Москва, Полный рабочий день|Менеджер продукта, Старший (Senior), Управление проектами, Ведение переговоров, Презентации|2022-11-28T19:27:47+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110583
Wildberries|OLAP разработчик|Полный рабочий день, Можно удаленно|BI-разработчик, Старший (Senior), Linux, Python, Высоконагруженные системы, Базы данных, OLAP, ETL, SQL, PostgreSQL|2022-11-28T19:53:01+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114846
Росбанк|Инженер по виртуализации|Полный рабочий день, Можно удаленно|Девопс инженер, Средний (Middle), Openstack, Администрирование Linux, VMware, AWS, Windows Azure, CI/CD, Powershell|2022-11-28T20:01:51+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104841
Лаборатория Касперского|Research Developer (Advanced Technologies and Performance Analysis)|Москва|Десктоп разработчик, C++, Performance tuning, Linux, Docker|2022-11-28T20:03:24+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114844
AppFollow|Senior Backend Developer (Python)|Полный рабочий день, Можно удаленно|Бэкенд разработчик, Старший (Senior), Python, Английский язык, AIOHTTP, MySQL, MongoDB, Redis, FastAPI|2022-11-28T20:20:12+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000112778
Gradient|Node.js Developer|Москва, Полный рабочий день, Можно удаленно|Фулстек разработчик, Старший (Senior), Node.js, Selenium, JavaScript|2022-11-28T20:23:50+03:00|['180000', 'null', '₽']|https://career.habr.com/vacancies/1000114842
Swapus Ltd|Разработчик Python + PHP|Можно удаленно|Бэкенд разработчик, Старший (Senior), Python, PHP, PostgreSQL, Git, Базы данных, Docker, Laravel|2022-11-28T20:28:59+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114543
AirGMS Technologies Inc| Fullstack developer (PHP / Javascript)|Полный рабочий день, Можно удаленно|Фулстек разработчик, Старший (Senior), PHP, JavaScript, MySQL|2022-11-28T20:35:24+03:00|['3000', '4000', '$']|https://career.habr.com/vacancies/1000095607
Future Search|Fullstack Developer под Wordpress / Web-разработчик|Полный рабочий день, Можно удаленно|Фулстек разработчик, Средний (Middle), JavaScript, WordPress, PHP, MySQL|2022-11-21T20:59:39+03:00|['90000', '140000', '₽']|https://career.habr.com/vacancies/1000113775
Region Lab|Scala Developer|Алматы, Полный рабочий день|Бэкенд разработчик, Средний (Middle), Scala, Java, Akka, Apache Kafka, Apache Cassandra, Высоконагруженные системы, Linux, PostgreSQL, Protobuf, Docker|2022-11-21T21:03:36+03:00|['100000', '150000', '₽']|https://career.habr.com/vacancies/1000113774
ДОМ.РФ|DevOps в ЦК Контейнеризации|Полный рабочий день, Можно удаленно|Девопс инженер, Средний (Middle), Kubernetes, Linux|2022-11-28T17:05:37+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000113764
ДОМ.РФ|Руководитель направления в ЦК Виртуализации|Полный рабочий день, Можно удаленно|Администратор серверов, Старший (Senior), VMware, Kubernetes|2022-11-28T17:07:10+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000113765
Aston (ex. Andersen)|Java Developer|Полный рабочий день, Можно удаленно|Бэкенд разработчик, Средний (Middle), Java, Java Spring Framework, RESTful API, SQL, PostgreSQL|2022-11-28T17:15:33+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114529
Магнит|Ведущий инженер облачных сервисов|Полный рабочий день, Можно удаленно|Системный администратор, Средний (Middle), Terraform, GitLab, Yandex.Cloud|2022-11-28T17:16:12+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114530
